weight	feature	lookup	input_glyph	output_glyph	input_advance	output_advance
700	onum	20	nine	nine.tosf	529	529
700	onum	20	nine.lf	nine.osf	542	546
700	onum	20	one	one.tosf	529	529
700	onum	20	one.lf	one.osf	396	337
700	onum	20	seven	seven.tosf	529	529
700	onum	20	seven.lf	seven.osf	546	506
700	onum	20	six	six.tosf	529	529
700	onum	20	six.lf	six.osf	523	510
700	onum	20	three	three.tosf	529	529
700	onum	20	three.lf	three.osf	469	398
700	onum	20	two	two.tosf	529	529
700	onum	20	two.lf	two.osf	528	476
700	onum	20	zero	zero.tosf	529	529
700	onum	20	zero.lf	zero.osf	583	512
700	lnum	17	eight.osf	eight.lf	502	550
700	lnum	17	five.osf	five.lf	370	450
700	lnum	17	four.osf	four.lf	531	565
700	lnum	17	nine.osf	nine.lf	546	542
700	lnum	17	one.osf	one.lf	337	396
700	lnum	17	seven.osf	seven.lf	506	546
700	lnum	17	six.osf	six.lf	510	523
700	lnum	17	three.osf	three.lf	398	469
700	lnum	17	two.osf	two.lf	476	528
700	lnum	17	zero.osf	zero.lf	512	583
700	pnum	18	eight	eight.lf	529	550
700	pnum	18	eight.tosf	eight.osf	529	502
700	pnum	18	five	five.lf	529	450
700	pnum	18	five.tosf	five.osf	529	370
700	pnum	18	four	four.lf	529	565
700	pnum	18	four.tosf	four.osf	529	531
700	pnum	18	nine	nine.lf	529	542
700	pnum	18	nine.tosf	nine.osf	529	546
700	pnum	18	one	one.lf	529	396
700	pnum	18	one.tosf	one.osf	529	337
700	pnum	18	seven	seven.lf	529	546
700	pnum	18	seven.tosf	seven.osf	529	506
700	pnum	18	six	six.lf	529	523
700	pnum	18	six.tosf	six.osf	529	510
700	pnum	18	three	three.lf	529	469
700	pnum	18	three.tosf	three.osf	529	398
700	pnum	18	two	two.lf	529	528
700	pnum	18	two.tosf	two.osf	529	476
700	pnum	18	zero	zero.lf	529	583
700	pnum	18	zero.tosf	zero.osf	529	512
800	tnum	19	eight.lf	eight	567	540
800	tnum	19	eight.osf	eight.tosf	513	540
800	tnum	19	five.lf	five	444	540
800	tnum	19	five.osf	five.tosf	372	540
800	tnum	19	four.lf	four	579	540
800	tnum	19	four.osf	four.tosf	539	540
800	tnum	19	nine.lf	nine	555	540
800	tnum	19	nine.osf	nine.tosf	564	540
800	tnum	19	one.lf	one	399	540
800	tnum	19	one.osf	one.tosf	348	540
800	tnum	19	seven.lf	seven	560	540
800	tnum	19	seven.osf	seven.tosf	516	540
800	tnum	19	six.lf	six	531	540
800	tnum	19	six.osf	six.tosf	514	540
800	tnum	19	three.lf	three	467	540
800	tnum	19	three.osf	three.tosf	404	540
800	tnum	19	two.lf	two	533	540
800	tnum	19	two.osf	two.tosf	484	540
800	tnum	19	zero.lf	zero	600	540
800	tnum	19	zero.osf	zero.tosf	513	540
800	onum	20	eight	eight.tosf	540	540
800	onum	20	eight.lf	eight.osf	567	513
800	onum	20	five	five.tosf	540	540
800	onum	20	five.lf	five.osf	444	372
800	onum	20	four	four.tosf	540	540
800	onum	20	four.lf	four.osf	579	539
800	onum	20	nine	nine.tosf	540	540
800	onum	20	nine.lf	nine.osf	555	564
800	onum	20	one	one.tosf	540	540
800	onum	20	one.lf	one.osf	399	348
800	onum	20	seven	seven.tosf	540	540
800	onum	20	seven.lf	seven.osf	560	516
800	onum	20	six	six.tosf	540	540
800	onum	20	six.lf	six.osf	531	514
800	onum	20	three	three.tosf	540	540
800	onum	20	three.lf	three.osf	467	404
800	onum	20	two	two.tosf	540	540
800	onum	20	two.lf	two.osf	533	484
800	onum	20	zero	zero.tosf	540	540
800	onum	20	zero.lf	zero.osf	600	513
800	lnum	17	eight.osf	eight.lf	513	567
800	lnum	17	five.osf	five.lf	372	444
800	lnum	17	four.osf	four.lf	539	579
800	lnum	17	nine.osf	nine.lf	564	555
800	lnum	17	one.osf	one.lf	348	399
800	lnum	17	seven.osf	seven.lf	516	560
800	lnum	17	six.osf	six.lf	514	531
800	lnum	17	three.osf	three.lf	404	467
800	lnum	17	two.osf	two.lf	484	533
800	lnum	17	zero.osf	zero.lf	513	600
800	pnum	18	eight	eight.lf	540	567
800	pnum	18	eight.tosf	eight.osf	540	513
800	pnum	18	five	five.lf	540	444
800	pnum	18	five.tosf	five.osf	540	372
800	pnum	18	four	four.lf	540	579
800	pnum	18	four.tosf	four.osf	540	539
800	pnum	18	nine	nine.lf	540	555
800	pnum	18	nine.tosf	nine.osf	540	564
800	pnum	18	one	one.lf	540	399
800	pnum	18	one.tosf	one.osf	540	348
800	pnum	18	seven	seven.lf	540	560
800	pnum	18	seven.tosf	seven.osf	540	516
800	pnum	18	six	six.lf	540	531
800	pnum	18	six.tosf	six.osf	540	514
800	pnum	18	three	three.lf	540	467
800	pnum	18	three.tosf	three.osf	540	404
800	pnum	18	two	two.lf	540	533
800	pnum	18	two.tosf	two.osf	540	484
800	pnum	18	zero	zero.lf	540	600
800	pnum	18	zero.tosf	zero.osf	540	513
